sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 21, 2025 20:43:20

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
  +u_efx_bram:efx_bram_3ae54ac031fc426384dda1a8bff49eb6_renamed_due_excessive_length_13	       0(0)	       0(0)	       0(0)	      16(0)	     0(0)	     2(0)	     0(0)	
   +genblk1.sdpram_inst:efx_simple_dual_port_ram_3ae54ac031fc426384dda1a8bff49eb6_renamed_due_excessive_length_14	       0(0)	       0(0)	       0(0)	      16(0)	     0(0)	     2(0)	     0(0)	
    +brams:bram_wrapper_mwm_3ae54ac031fc426384dda1a8bff49eb6(WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,BYTEEN_POLARITY=1,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,DATA_WIDTH_A=8,DATA_WIDTH_B=8,ADDR_WIDTH_A=11,ADDR_WIDTH_B=11,BYTEEN_WIDTH=1)	       0(0)	       0(0)	       0(0)	      16(0)	     0(0)	     2(0)	     0(0)	
     +scan_row.row[0].column[0].bram:bram_primitive_3ae54ac031fc426384dda1a8bff49eb6(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1)	       0(0)	       0(0)	       0(0)	     10(10)	     0(0)	     1(1)	     0(0)	
     +scan_row.row[0].column[1].bram:bram_primitive_3ae54ac031fc426384dda1a8bff49eb6(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,ini_index=1)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     1(1)	     0(0)	
 +u_sram_r2_g:sram_r2_g                                     	       0(0)	       0(0)	       0(0)	      16(0)	     0(0)	     2(0)	     0(0)	
  +u_efx_bram:efx_bram_357ccd09959647eeadd5b131d06ecdf4_renamed_due_excessive_length_15	       0(0)	       0(0)	       0(0)	      16(0)	     0(0)	     2(0)	     0(0)	
   +genblk1.sdpram_inst:efx_simple_dual_port_ram_357ccd09959647eeadd5b131d06ecdf4_renamed_due_excessive_length_16	       0(0)	       0(0)	       0(0)	      16(0)	     0(0)	     2(0)	     0(0)	
    +brams:bram_wrapper_mwm_357ccd09959647eeadd5b131d06ecdf4(WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,BYTEEN_POLARITY=1,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,DATA_WIDTH_A=8,DATA_WIDTH_B=8,ADDR_WIDTH_A=11,ADDR_WIDTH_B=11,BYTEEN_WIDTH=1)	       0(0)	       0(0)	       0(0)	      16(0)	     0(0)	     2(0)	     0(0)	
     +scan_row.row[0].column[0].bram:bram_primitive_357ccd09959647eeadd5b131d06ecdf4(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1)	       0(0)	       0(0)	       0(0)	     10(10)	     0(0)	     1(1)	     0(0)	
     +scan_row.row[0].column[1].bram:bram_primitive_357ccd09959647eeadd5b131d06ecdf4(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,ini_index=1)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     1(1)	     0(0)	
 +u_sram_r2_b:sram_r2_b                                     	       0(0)	       0(0)	       0(0)	      16(0)	     0(0)	     2(0)	     0(0)	
  +u_efx_bram:efx_bram_31cc2381fcce4a41b4043411d231dae3_renamed_due_excessive_length_17	       0(0)	       0(0)	       0(0)	      16(0)	     0(0)	     2(0)	     0(0)	
   +genblk1.sdpram_inst:efx_simple_dual_port_ram_31cc2381fcce4a41b4043411d231dae3_renamed_due_excessive_length_18	       0(0)	       0(0)	       0(0)	      16(0)	     0(0)	     2(0)	     0(0)	
    +brams:bram_wrapper_mwm_31cc2381fcce4a41b4043411d231dae3(WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,BYTEEN_POLARITY=1,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,DATA_WIDTH_A=8,DATA_WIDTH_B=8,ADDR_WIDTH_A=11,ADDR_WIDTH_B=11,BYTEEN_WIDTH=1)	       0(0)	       0(0)	       0(0)	      16(0)	     0(0)	     2(0)	     0(0)	
     +scan_row.row[0].column[0].bram:bram_primitive_31cc2381fcce4a41b4043411d231dae3(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1)	       0(0)	       0(0)	       0(0)	     10(10)	     0(0)	     1(1)	     0(0)	
     +scan_row.row[0].column[1].bram:bram_primitive_31cc2381fcce4a41b4043411d231dae3(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,ini_index=1)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     1(1)	     0(0)	
 +u_uart_cmd_parser:uart_cmd_parser                         	     182(1)	       0(0)	      31(0)	     320(0)	     0(0)	     0(0)	     0(0)	
  +u_integer_devider:integer_divider(DEVIDE_CNT=52)         	     32(32)	       0(0)	     31(31)	     45(45)	     0(0)	     0(0)	     0(0)	
  +u_uart_receiver:uart_receiver                            	     28(28)	       0(0)	       0(0)	     42(42)	     0(0)	     0(0)	     0(0)	
  +u_string_parser:string_parser                            	   111(111)	       0(0)	       0(0)	   211(211)	     0(0)	     0(0)	     0(0)	
  +u_uart_transfer:uart_transfer                            	     10(10)	       0(0)	       0(0)	     22(22)	     0(0)	     0(0)	     0(0)	
 +u_mean_filter:Mean_Filter_3x3                             	   349(349)	       0(0)	   334(334)	   150(150)	     0(0)	     0(0)	     3(3)	
 +u_axi4_ctrl:axi4_ctrl(C_ID_LEN=4,C_RD_END_ADDR=3686400,C_W_WIDTH=32,C_R_WIDTH=32)	   382(179)	      22(2)	     99(24)	    190(79)	     0(0)	    14(0)	     0(0)	
  +Gen_FIFO_W32.u_W0_FIFO_32:W0_FIFO_32                     	      77(0)	      20(0)	      43(0)	      60(0)	     0(0)	     8(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_9133b310c90946e99246ad457ba54d5f(SYNC_STAGE=3,MODE="FWFT",DEPTH=2048,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=1536,PROG_FULL_NEGATE=1536,PROGRAMMABLE_EMPTY="STATIC_SINGLE",PROG_EMPTY_ASSERT=127,PROG_EMPTY_NEGATE=127,ASYM_WIDTH_RATIO=6)	      77(4)	      20(0)	      43(0)	      60(0)	     0(0)	     8(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_9133b310c90946e99246ad457ba54d5f(MODE="FWFT",WR_DEPTH=2048,WDATA_WIDTH=32,RDATA_WIDTH=128,WADDR_WIDTH=11,OUTPUT_REG=0)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     8(8)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_9133b310c90946e99246ad457ba54d5f(SYNC_CLK=0,SYNC_STAGE=3,MODE="FWFT",WR_DEPTH=2048,WADDR_WIDTH=11,ASYM_WIDTH_RATIO=6,RAM_MUX_RATIO=4,ALMOST_FLAG=0,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=1536,PROG_FULL_NEGATE=1536,PROGRAMMABLE_EMPTY="STATIC_SINGLE",PROG_EMPTY_ASSERT=127,PROG_EMPTY_NEGATE=127,HANDSHAKE_FLAG=0)	     73(73)	      20(0)	     43(43)	     60(24)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_9133b310c90946e99246ad457ba54d5f(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_9133b310c90946e99246ad457ba54d5f(STAGE=3,WIDTH=10)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_9133b310c90946e99246ad457ba54d5f(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_addr_sync:efx_fifo_datasync_9133b310c90946e99246ad457ba54d5f(STAGE=3,WIDTH=12)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=11)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=10)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=9)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=8)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=7)	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=6)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_9133b310c90946e99246ad457ba54d5f(WIDTH=4)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
  +Gen_RFIFO_32.u_R0_FIFO_32:R0_FIFO_32                     	     126(0)	       0(0)	      32(0)	      51(0)	     0(0)	     6(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_acec3874261e4a788712c2a22eb49f4c(FAMILY="TITANIUM",SYNC_STAGE=3,MODE="FWFT",DATA_WIDTH=128,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=256,PROG_FULL_NEGATE=256,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=2,PROG_EMPTY_NEGATE=3,ASYM_WIDTH_RATIO=2)	     126(0)	       0(0)	      32(0)	      51(0)	     0(0)	     6(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_acec3874261e4a788712c2a22eb49f4c(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_acec3874261e4a788712c2a22eb49f4c(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_acec3874261e4a788712c2a22eb49f4c(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_acec3874261e4a788712c2a22eb49f4c(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_acec3874261e4a788712c2a22eb49f4c(FAMILY="TITANIUM",RD_DEPTH=2048,WDATA_WIDTH=128,RDATA_WIDTH=32,RADDR_WIDTH=11,OUTPUT_REG=0)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     6(6)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_acec3874261e4a788712c2a22eb49f4c(SYNC_CLK=0,SYNC_STAGE=3,MODE="FWFT",RADDR_WIDTH=11,ASYM_WIDTH_RATIO=2,RAM_MUX_RATIO=4,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=256,PROG_FULL_NEGATE=256,PROG_EMPTY_ASSERT=2,PROG_EMPTY_NEGATE=3,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	    122(62)	       0(0)	     32(32)	     51(15)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_acec3874261e4a788712c2a22eb49f4c(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_addr_sync:efx_asyncreg_acec3874261e4a788712c2a22eb49f4c(ASYNC_STAGE=3,WIDTH=12,ACTIVE_LOW=0)	     30(30)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=11)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=10)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=9)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=8)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=7)	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=6)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=4)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_acec3874261e4a788712c2a22eb49f4c(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_addr_sync:efx_asyncreg_acec3874261e4a788712c2a22eb49f4c(ASYNC_STAGE=3,WIDTH=10,ACTIVE_LOW=0)	     30(30)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_acec3874261e4a788712c2a22eb49f4c(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +u_lcd_driver:lcd_driver                                   	     30(30)	       0(0)	     24(24)	     83(83)	     0(0)	     0(0)	     0(0)	
 +inst_FrameCrop:FrameBoundCrop(SKIP_ROWS=4,SKIP_COLS=2,TOTAL_ROWS=720,TOTAL_COLS=1280)	     53(53)	       0(0)	     22(22)	     64(64)	     0(0)	     0(0)	     0(0)	
 +u_rgb2dvi:rgb2dvi(ENABLE_OSERDES=0)                       	      45(0)	       0(0)	      81(0)	     138(0)	     0(0)	     0(0)	     0(0)	
  +enc_0:tmds_channel                                       	     15(15)	       0(0)	     27(27)	     48(48)	     0(0)	     0(0)	     0(0)	
  +enc_1:tmds_channel                                       	     15(15)	       0(0)	     27(27)	     48(48)	     0(0)	     0(0)	     0(0)	
  +enc_2:tmds_channel                                       	     15(15)	       0(0)	     27(27)	     42(42)	     0(0)	     0(0)	     0(0)	
